time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,time_step_counter,season_counter,dap,Wr,z_gw,surface_storage,IrrDay,Infl,Runoff,DeepPerc,CR,GwIn,Es,EsPot,Tr,TrPot,time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,yield_,Season,crop Type,Harvest Date (YYYY/MM/DD),Harvest Date (Step),Yield (tonne/ha),Seasonal irrigation (mm)
0.0,1.0,1.0,0.44195999999999996,0.37437605444181427,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.3331977810817105,0.0,0.0,1.0,114.96000000000001,-999.0,0.0,0.0,16.798049227839325,4.701950772160675,11.762662701947407,0.0,0.0,1.804,1.804,0.0,0.0,0.0,0.0,1.0,9.76,9.76,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PotatoLocal,2023-09-03,124.0,12.493875675147113,275.0
1.0,1.0,2.0,0.31867240897004434,0.35321240897004436,0.34583793546328584,0.3399478288023424,0.33713130702365574,0.33553628022600407,0.3345288336007566,0.3338431811330586,0.333350638064313,0.33298207835155075,0.33269735578785364,0.3324716968663407,1.0,0.0,2.0,101.77,-999.0,0.0,0.0,0.0,0.0,8.356191199966922,0.0,0.0,3.4540000000000006,3.4540000000000006,0.0,0.0,1.0,0.0,2.0,8.8,18.560000000000002,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2.0,1.0,3.0,0.2664224089700443,0.33561999048591545,0.3338788671946767,0.3332131139997855,0.3329652226142568,0.3326514975287035,0.3323726617415657,0.33213903480113277,0.3319448824469754,0.3317826541096286,0.3316458286261663,0.33152925729960514,2.0,0.0,3.0,93.59,-999.0,0.0,0.0,0.0,0.0,5.179653344079383,0.0,0.0,5.2250000000000005,5.2250000000000005,0.0,0.0,2.0,0.0,3.0,5.53,24.090000000000003,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
3.0,1.0,4.0,0.22586461934392743,0.3313980550229231,0.33096746274784866,0.3308022144654343,0.33079400177327556,0.3307797928336024,0.33075380401736804,0.33072327795575557,0.33069196580945237,0.33066160586244686,0.33063293574563624,0.3306062076633061,3.0,0.0,4.0,88.83000000000001,-999.0,0.0,0.0,0.0,0.0,2.0931686951362667,0.0,0.0,4.0557789626117255,4.95,0.0,0.0,3.0,0.0,4.0,7.33,31.42,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
4.0,1.0,5.0,0.20992446856114305,0.3303500027205844,0.33024236021303577,0.3302010133575968,0.33019895792172976,0.3301985693797542,0.3301978651870515,0.3301961563256653,0.3301936720576171,0.3301906703624028,0.33018735544289396,0.3301838734435912,4.0,0.0,5.0,87.05000000000001,-999.0,0.0,0.0,1.7,0.0,0.6470827485126414,0.0,0.0,3.2940150782784805,3.4760000000000004,0.0,0.0,4.0,0.0,5.0,14.579999999999998,46.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
5.0,1.0,6.0,0.18085420019407475,0.3300877605701595,0.33006077978834597,0.33005041381907735,0.33004989847234284,0.3300498010552584,0.3300497809745435,0.3300497511403737,0.3300496585344222,0.33004949758424734,0.33004927376514875,0.3300489966065156,5.0,0.0,6.0,84.10999999999999,-999.0,0.0,0.0,0.0,0.0,0.17448841014876318,0.0,0.0,2.907026836706855,4.444000000000001,0.0,0.0,5.0,0.0,6.0,12.68,58.68,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
6.0,1.0,7.0,0.25182420019407475,0.3300220139296712,0.3300152466636492,0.3300126465468419,0.330012517279289,0.3300124928435475,0.33001248780657433,0.33001248672722194,0.33001248565867336,0.33001248142216605,0.3300124727858429,0.33001245916994826,6.0,0.0,7.0,91.18,-999.0,0.0,0.0,9.0,0.0,0.04458214770095823,0.0,0.0,1.903,1.903,0.0,0.0,6.0,0.0,7.0,13.23,71.91,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
7.0,1.0,8.0,0.24210532702123375,0.33000552253337995,0.3300038248990967,0.3300031726254671,0.33000314019686255,0.3300031340668077,0.33000313280321103,0.3300031325324401,0.33000313247305374,0.33000313244210333,0.33000313227651085,0.3300031318831527,7.0,0.0,8.0,90.21000000000001,-999.0,0.0,0.0,1.8,0.0,0.011220210133981116,0.0,0.0,2.7718873172841376,2.8160000000000003,0.0,0.0,7.0,0.0,8.0,12.05,83.96,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
8.0,1.0,9.0,0.27337532702123374,0.3300013854466858,0.33000095956091957,0.33000079592436254,0.3300007877889568,0.3300007862511021,0.33000078593410187,0.3300007858661733,0.3300007858512749,0.33000078584795334,0.3300007858473602,0.3300007858418517,8.0,0.0,9.0,93.34,-999.0,0.0,0.0,5.8,0.0,0.0028158571343651338,0.0,0.0,2.6730000000000005,2.6730000000000005,0.0,0.0,8.0,0.0,9.0,13.12,97.08,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
9.0,1.0,10.0,0.24516940687876634,0.3300003475713488,0.33000024072820594,0.33000019967621314,0.33000019763525895,0.33000019724945273,0.3300001971699259,0.3300001971528844,0.33000019714914686,0.3300001971483136,0.33000019714816475,0.330000197148129,9.0,0.0,10.0,90.52,-999.0,0.0,0.0,0.2,0.0,0.0007064383698040389,0.0,0.0,3.020592014246759,3.586,0.0,0.0,9.0,0.0,10.0,9.17,106.25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
