timestamp,Basilea Temperature [2 m elevation corrected],Basilea Precipitation Total,Basilea FAO Reference Evapotranspiration [2 m]
20220107T0800,-0.6094713,0,0
20220107T0900,-0.32947135,0,0.001127931
20220107T1000,1.2305287,0,0.014087876
20220107T1100,2.5105286,0,0.057557486
20220107T1200,3.5205286,0,0.09255785
20220107T1300,4.0705285,0,0.09587809
20220107T1400,3.6805286,0,0.079390004
20220107T1500,3.7705286,0,0.05969519
20220107T1600,3.6005285,0.4,0.04502879
20220107T1700,3.1405284,0.8,0.031307817
20220107T1800,2.6305285,0.1,0.021513997
20220107T1900,2.8005285,0,0.025158256
20220107T2000,2.8205285,0,0.025988372
20220107T2100,2.6405284,0,0.022808919
20220107T2200,2.5505285,0,0.01944897
20220107T2300,2.5105286,0,0.015386391
20220108T0000,2.6305285,0,0.01356547
20220108T0100,2.1005285,0,0.012829909
20220108T0200,2.9405286,0,0.022241097
20220108T0300,3.3005285,0,0.019645007
20220108T0400,2.2805285,0.2,0.034976106
20220108T0500,3.2105286,0.8,0.03234895
20220108T0600,2.6305285,0,0.02760122
20220108T0700,2.4205287,0,0.02095053
20220108T0800,1.1505287,0,0.015994003
20220108T0900,0.030528657,0,0.012220589
20220108T1000,0.15052865,0,0.016443554
20220108T1100,1.1005287,0,0.03558067
20220108T1200,2.2205286,0,0.067585655
20220108T1300,3.4705286,0,0.10189747
20220108T1400,6.4105287,0,0.13086306
20220108T1500,6.9605284,0,0.15407206
20220108T1600,6.9005284,0,0.1338873
20220108T1700,6.7405286,0,0.09051586
20220108T1800,5.6605287,0,0.057167478
20220108T1900,5.4505286,0,0.050831053
20220108T2000,4.9105287,0.1,0.04741776
20220108T2100,4.8305287,0.1,0.050444324
20220108T2200,4.9505286,0.1,0.058767784
20220108T2300,5.2205286,0,0.06347905
20220109T0000,5.7405286,0.7,0.06709842
20220109T0100,5.6805286,0.3,0.07073249
20220109T0200,6.4205284,0.5,0.06823772
20220109T0300,5.5305285,0.6,0.041955825
20220109T0400,4.0805287,0.6,0.037865173
20220109T0500,2.2105286,1.5,0.020450328
20220109T0600,3.3505285,0.1,0.022645114
20220109T0700,3.1205285,0,0.02175805
20220109T0800,2.9305286,0,0.020201286
20220109T0900,2.5405285,0,0.016086845
20220109T1000,2.9405286,0,0.019718641
20220109T1100,3.8805285,0,0.04349992
20220109T1200,4.7805285,0,0.07670508
20220109T1300,4.9105287,0,0.08838961
20220109T1400,5.0105286,0,0.08311166
20220109T1500,5.5805287,0.1,0.09177678
20220109T1600,5.290529,0,0.07585823
20220109T1700,4.9605284,0,0.05027527
20220109T1800,3.9205287,0.1,0.02158807
20220109T1900,3.1305285,0.6,0.001097116
20220109T2000,2.1405284,0.7,0
20220109T2100,2.3505285,0.5,0
20220109T2200,2.0305285,0.5,0
20220109T2300,1.7205287,0.2,0
20220110T0000,1.9405286,0.1,0
20220110T0100,1.8105286,0.3,0
20220110T0200,1.5605286,0.4,0
20220110T0300,2.2005286,0,0.012258629
20220110T0400,0.67052865,0,0
20220110T0500,0.37052867,0,0
20220110T0600,0.9605287,0,0
20220110T0700,1.0505286,0,0
20220110T0800,0.99052864,0,0
20220110T0900,0.9605287,0,0
20220110T1000,1.1205287,0,0.00537863
20220110T1100,1.6905286,0,0.022010876
20220110T1200,2.2805285,0,0.03814832
20220110T1300,2.6505284,0,0.053754248
20220110T1400,3.4805286,0,0.08994317
20220110T1500,4.3405285,0,0.09562843
20220110T1600,4.7305284,0,0.087880865
20220110T1700,4.8205285,0,0.053673364
20220110T1800,4.3905287,0,0.009785276
20220110T1900,3.0205286,0,0.011908311
20220110T2000,0.8805287,0,0.00177835
20220110T2100,0.18052867,0,0
20220110T2200,-0.36947134,0,0
20220110T2300,-0.59947133,0,0
20220111T0000,-0.6794713,0,0
20220111T0100,-0.7994713,0,0
20220111T0200,-0.96947134,0,0
20220111T0300,-0.94947135,0,0
20220111T0400,-1.1194713,0,0
20220111T0500,-1.2594713,0,0
20220111T0600,-1.2994714,0,0
20220111T0700,-1.4794713,0,0
20220111T0800,-1.7494713,0,0
20220111T0900,-2.1494715,0,0
20220111T1000,-2.1394715,0,0
20220111T1100,-0.7394713,0,0.027347567
20220111T1200,0.81052864,0,0.0691904
20220111T1300,1.4905287,0,0.094266444
20220111T1400,3.9605286,0,0.11854466
20220111T1500,4.5305285,0,0.120563194
20220111T1600,4.8605285,0,0.107708305
20220111T1700,4.3205285,0,0.06955161
20220111T1800,3.0005286,0,0.017957319
20220111T1900,1.3605287,0,0.0093384
20220111T2000,-0.21947134,0,0.003519062
20220111T2100,-0.87947136,0,0
20220111T2200,-1.0294713,0,0
20220111T2300,-1.0994713,0,0
20220112T0000,-1.2794713,0,0
20220112T0100,-1.6094713,0,0.001075278
20220112T0200,-1.9394714,0,0.002704245
20220112T0300,-2.2394714,0,0.001960856
20220112T0400,-2.6194715,0,0.003014836
20220112T0500,-2.9994714,0,0.003194567
20220112T0600,-3.2294714,0,0.000873437
20220112T0700,-3.7694714,0,0.000565089
20220112T0800,-4.2394714,0,0
20220112T0900,-4.5394716,0,0
20220112T1000,-4.4494715,0,0
20220112T1100,-3.6894715,0,0.027100522
20220112T1200,-2.6594715,0,0.06450965
20220112T1300,-1.7294713,0,0.08790093
20220112T1400,3.2905285,0,0.12696075
20220112T1500,2.3905284,0,0.11075728
20220112T1600,2.3605285,0,0.08677035
20220112T1700,2.3605285,0,0.046840675
20220112T1800,2.1905286,0,0.006588753
20220112T1900,0.66052866,0,0
20220112T2000,-0.7894713,0,0
20220112T2100,-1.4094714,0,0
20220112T2200,-1.6294713,0,0
20220112T2300,-1.7494713,0,0
20220113T0000,-1.9294714,0,0
20220113T0100,-1.9594713,0,0
20220113T0200,-1.9294714,0,0
20220113T0300,-2.0394714,0,0
20220113T0400,-2.3194714,0,0.001244663
20220113T0500,-2.6794715,0,0.00021184
20220113T0600,-2.8494716,0,0
20220113T0700,-3.0794713,0,0
20220113T0800,-3.3494716,0,0
20220113T0900,-3.7494714,0,0
20220113T1000,-3.6394715,0,0
20220113T1100,-2.7694714,0,0.027375014
20220113T1200,-1.7094713,0,0.0637477
20220113T1300,-0.70947134,0,0.08971547
20220113T1400,2.7705286,0,0.119653516
20220113T1500,3.2605286,0,0.11373832
20220113T1600,3.6805286,0,0.09171442
20220113T1700,3.7305286,0,0.051826917
20220113T1800,3.2505286,0,0.008833468
20220113T1900,2.1605287,0,0.001227382
20220113T2000,1.3405286,0,0
20220113T2100,1.0105287,0,0
20220113T2200,0.8205287,0,0
20220113T2300,0.5705287,0,0
20220114T0000,0.5705287,0,0
20220114T0100,0.45052865,0,0
20220114T0200,0.36052868,0,0
20220114T0300,0.23052865,0,0
20220114T0400,-0.45947134,0,0
20220114T0500,-0.9894713,0,0
20220114T0600,-1.1794714,0,0
20220114T0700,-1.1194713,0,0
20220114T0800,-1.1294713,0,0
20220114T0900,-1.2594713,0,0
20220114T1000,-0.7994713,0,0
20220114T1100,0.7005287,0,0.029277911
20220114T1200,1.9605286,0,0.0749823
20220114T1300,3.0905285,0,0.109001726
20220114T1400,4.6905284,0,0.12819153
20220114T1500,6.0305285,0,0.13020784
20220114T1600,6.9005284,0,0.11012214
20220114T1700,6.9005284,0,0.066817194
20220114T1800,6.5205283,0,0.01990403
20220114T1900,5.3905287,0,0.010360857
20220114T2000,3.5005286,0,0.000950496
