Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Relative Humidity [2 m],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Soil Moisture [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb],ID,month,Basilea Next Day Soil Moisture [0-10 cm down]
17.36,6.6,-5.07,43,0,1010.1,86,1444,2999,5563,0.07776,0.12123402,16.19,18.279999,0.234,10.560841,14.404499,358.56793,23.42491,2.6425323,21.599998,20.46941,23.860168,9.220499,38.659805,11.659777,351.11935,31.624725,337.2296,46435,4,0.235
14.08,9.63,1.52,63,0,1013.1,107,1474,3060,5681,0.0,0.0,11.33,13.610016,0.114,4.8874416,2.5959969,123.69006,6.28713,103.24051,9.36,28.808998,91.4321,14.255272,44.999985,13.246826,42.797394,17.414476,352.875,56524,6,0.117
2.16,-6.77,-14.69,84,6,1021.2,169,1460,2947,5414,0.00864,0.001396705,1.14,3.649994,0.267,1.0383387,7.386582,316.97495,12.0694,342.646,16.919998,21.602999,0.954834,17.313717,3.5763245,41.266743,222.8789,24.442911,260.67642,19992,4,0.264
17.55,5.45,-4.89,50,55,1006.8,58,1417,2971,5575,0.09072,0.16497104,17.42,18.529999,0.245,9.484294,22.55106,253.30075,28.829233,254.0546,33.12,41.560905,255.96376,42.95933,256.42957,55.290184,261.76437,83.13506,256.9868,6090,9,0.252
10.29,0.78,-6.83,71,0,1005.8,49,1377,2919,5452,0.09072,0.15868042,13.9,11.529999,0.275,3.5913048,19.08,270.0,19.8,270.0,13.32,13.358861,284.03625,6.439876,243.43495,15.94601,151.69925,47.169617,121.26373,19834,4,0.287
17.25,5.96,-3.79,65,291,1024.6,207,1565,3127,5700,0.1368,0.14823379,18.69,18.51001,0.311,6.988058,7.5599995,270.0,7.2,270.0,11.159999,10.105681,265.91437,18.0036,271.14575,24.248613,288.16595,29.257614,251.34212,3209,5,0.299
19.85,9.6,0.49,70,17,1020.8,175,1550,3134,5774,0.03312,0.03141112,18.22,20.27002,0.286,6.4664755,7.8954163,335.77228,16.343367,352.40536,14.4,5.771239,3.5763245,3.7585104,343.30075,15.716793,249.90477,44.360413,283.13403,39621,7,0.324
16.32,6.79,-1.77,68,15,1011.0,94,1453,3020,5618,0.01584,0.045692876,15.17,17.390015,0.208,5.5051565,14.48972,243.43495,23.540806,246.57132,27.0,60.468212,263.84818,47.966537,266.5578,50.90405,255.66893,61.436714,280.1247,57793,8,0.238
10.74,9.18,-0.27,71,0,1013.3,110,1457,3035,5644,0.036,0.142453,14.81,11.959991,0.216,3.7576942,4.0249224,280.30487,4.1046314,285.25513,12.959999,33.805515,262.04248,36.258274,263.15723,42.73702,263.7131,76.82268,273.49258,15922,10,0.213
3.02,-7.71,-18.92,69,70,1007.3,60,1349,2826,5229,0.08496,0.0734366,3.2,3.3000183,0.318,2.2285585,32.26572,280.9338,39.751892,282.02228,40.68,52.66592,285.46124,61.728195,305.26578,57.04154,316.53436,52.527935,318.33386,302,1,0.308
14.23,4.93,-2.68,42,0,1024.3,203,1548,3108,5721,0.09072,0.23518276,19.07,17.339996,0.225,9.895109,5.815978,21.801407,5.5887027,14.931412,11.159999,15.546833,95.31454,19.959719,97.25319,21.2522,10.738892,58.12077,4.2626038,41943,10,0.227
18.13,10.6,0.65,86,22,1015.7,133,1506,3096,5724,0.00144,0.001342468,15.7,14.869995,0.269,2.5076885,5.815978,111.80141,6.6185193,112.380135,3.2399998,10.315115,240.75117,25.952478,246.2796,48.98117,245.69547,54.22752,237.47046,40038,7,0.275
21.53,15.81,8.08,72,0,1019.5,165,1560,3184,5873,0.09792,0.28785533,26.62,22.140015,0.254,7.475258,9.826088,98.42697,9.9571085,102.52881,14.04,13.722565,85.48601,14.830076,95.5722,14.618837,37.99872,27.322077,18.434952,31545,8,0.258
22.21,14.38,4.05,80,776,1005.3,44,1434,3046,5704,0.1728,0.22302195,25.16,24.399994,0.29,5.271616,17.873556,297.5973,19.966211,295.64102,23.759998,35.64,270.0,36.55906,244.94902,51.75117,228.10167,27.558228,199.85521,22497,7,0.244
11.36,6.81,-1.66,70,8,1018.3,153,1494,3065,5690,0.05184,0.107534006,12.81,11.059998,0.24,4.012967,36.04677,261.38434,44.15103,260.6145,50.039997,80.43805,282.66788,79.97268,299.6809,90.04966,318.7279,108.26188,327.6311,7233,10,0.246
7.04,3.77,-2.83,94,0,1020.9,170,1504,3064,5660,0.0,0.0,7.37,7.850006,0.224,0.5910835,4.6800003,247.38014,6.830519,251.56506,4.32,18.161278,76.23921,11.177405,75.06858,17.654688,309.2072,21.42227,24.842377,41982,10,0.225
8.03,-1.55,-11.45,86,52,1028.7,234,1552,3070,5577,0.01296,0.006824515,7.45,7.850006,0.272,1.4717093,11.720751,280.61966,18.511143,283.49573,21.599998,23.675303,314.38397,15.349684,320.71057,22.159746,313.0251,32.44996,319.9503,51719,11,0.271
10.84,1.19,-7.25,53,0,1006.3,54,1382,2919,5481,0.08784,0.09250573,8.2,9.860016,0.267,5.487069,23.006226,249.86371,30.758411,249.44395,42.839996,61.824696,242.98734,83.16311,238.99371,63.324192,241.10359,72.48884,236.54669,16025,10,0.257
8.38,0.53,-7.52,58,0,1017.4,141,1464,2996,5541,0.00576,0.005072734,4.68,6.9900208,0.264,3.8782535,3.6,270.0,8.473393,347.73523,14.04,6.12,270.0,14.404499,268.5679,15.463246,294.77515,28.460497,304.69516,28486,4,0.266
9.21,-1.64,-5.06,73,57,1018.7,155,1474,3006,5571,0.1296,0.1931564,15.07,11.279999,0.311,3.2904148,7.968939,18.434952,6.0347,17.35402,10.799999,9.36,89.99999,11.620809,73.8108,30.96837,17.592407,53.71726,3.0733185,3081,5,0.319
16.01,3.36,-7.14,43,39,1019.8,167,1517,3058,5601,0.13536,0.32664236,22.11,20.110016,0.23,10.963966,13.896187,16.557053,15.111424,12.380737,14.04,14.021525,29.19748,13.004922,41.63353,9.028754,355.4261,34.56,360.0,37744,4,0.237
18.45,8.67,-1.63,59,29,1020.0,168,1540,3111,5735,0.02304,0.032189477,17.21,19.02002,0.223,7.8514595,7.5942073,354.5597,14.934577,15.376251,16.199999,14.799459,41.05481,8.4963045,36.38434,23.828083,4.332321,53.042305,3.8916626,12959,6,0.224
16.08,6.94,-2.21,82,123,1021.1,178,1536,3106,5711,0.10512,0.13832878,18.41,16.99002,0.301,3.3477564,15.124284,271.36392,16.575644,272.48956,13.679999,7.5599995,270.0,11.720751,312.51044,14.759999,347.31964,8.854829,333.43497,55643,5,0.265
5.8,3.02,-3.34,56,0,1025.9,209,1527,3083,5664,0.00144,0.0,4.47,5.5599976,0.272,3.8731947,1.8,306.8699,5.95906,334.98312,4.32,11.165805,20.772247,18.58451,21.595291,29.539747,2.0952454,26.31942,319.99374,7675,11,0.275
20.0,10.38,2.56,70,7,1018.5,157,1533,3132,5775,0.03024,0.09410053,19.94,21.320007,0.151,6.86043,30.77105,241.33604,39.606544,242.96915,42.12,71.18356,257.43976,59.197838,251.56506,59.470867,257.05737,61.31107,247.19899,56735,6,0.121
10.13,3.36,-7.49,84,23,995.7,-33,1299,2840,5390,0.03888,0.03307846,6.94,7.230011,0.333,1.6773787,16.323528,221.42366,22.915916,226.27303,22.68,46.081406,270.44763,34.494312,288.24585,32.185287,323.64282,42.9729,254.4502,35778,1,0.309
18.12,12.15,3.24,72,0,1016.2,136,1518,3114,5764,0.0216,0.030767607,16.44,18.52002,0.255,5.2775955,11.119281,119.054596,22.218153,116.980225,16.56,16.311613,112.036224,9.531505,79.11447,26.576681,331.69925,54.536137,308.83704,22682,8,0.25
23.19,10.92,2.34,40,0,1016.5,140,1525,3115,5755,0.19728,0.58361465,33.81,28.649994,0.225,18.391731,7.42159,345.96375,7.42159,345.96375,7.2,8.759178,350.5377,6.6185193,22.380127,12.620554,266.7295,18.64369,280.008,13381,7,0.227
