timestamp,Basilea Temperature [2 m elevation corrected],Basilea Growing Degree Days [2 m elevation corrected],Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Sunshine Duration,Basilea Shortwave Radiation,Basilea Direct Shortwave Radiation,Basilea Diffuse Shortwave Radiation,Basilea Precipitation Total,Basilea Snowfall Amount,Basilea Relative Humidity [2 m],Basilea Cloud Cover Total,Basilea Cloud Cover High [high cld lay],Basilea Cloud Cover Medium [mid cld lay],Basilea Cloud Cover Low [low cld lay],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb]
20220929T1200,12.170529,0.09043872,12.74,2.72,-6.3,0,302.6,116.341446,186.25856,0.1,0,75,100,30,100,100,63,1001.4,13,1353,2896,5442,15.7,14.240021,3.532322,2.0364676,315,1.5273507,315,2.8799999,6.2145634,280.008,9.6932955,285.06848,31.122828,240.17291,61.521038,235.00798
20220929T1300,12.030529,0.08460537,12.76,2.69,-6.38,0,224.28,44.508865,179.77113,0.5,0,79,100,37,100,100,149,1002.5,23,1362,2904,5448,13.88,14.380005,2.93995,13.276144,282.5288,13.910169,280.43747,15.119999,15.192682,283.70697,16.279802,288.0343,26.33911,259.7652,62.208164,232.99748
20220929T1400,12.590529,0.10793873,12.92,2.56,-6.7,0,221.61,71.852356,149.75764,0.7,0,72,100,36,100,0,73,1003.1,28,1367,2909,5450,16.02,14.320007,4.066781,17.193533,289.57312,18.671474,289.13367,18,22.79684,285.57254,21.288757,273.87854,34.03476,246.96057,62.744396,231.28885
20220929T1500,12.220529,0.092522025,13.07,2.18,-7.22,3.0303025,187.79,86.630684,101.15931,0.1,0,71,94,41,94,61,89,1003.7,33,1371,2912,5452,13.28,14.130005,4.110983,15.716793,290.0952,18.58451,291.5953,20.519999,21.288757,288.74133,17.727943,282.9074,32.385994,245.71417,62.595497,229.8991
20220929T1600,11.720529,0.07168869,12.45,1.99,-7.31,30.90909,114.81,62.75997,52.050026,0.1,0,74,48,43,48,45,76,1004.1,36,1372,2912,5451,13.09,13.640015,3.5663357,14.618837,279.92624,17.581125,280.61966,17.64,21.829777,283.34872,18.25026,284.8586,30.21642,248.32535,60.181408,228.39493
20220929T1700,11.210529,0.05043872,12.52,1.91,-7.35,36.36364,102.35,29.820183,72.529816,0,0,74,39,63,39,7,53,1004.7,40,1377,2915,5452,10.92,12.950012,3.4480982,11.367109,280.95407,17.114204,284.62088,16.919998,22.35481,284.93143,22.42427,275.52753,26.33911,259.7652,54.14979,232.29205
20220929T1800,10.700529,0.029188713,11.99,1.82,-7.29,0,1.78,1.3891692,0.39083073,0,0,77,100,39,27,100,36,1005.8,50,1385,2922,5457,10.81,12.100006,2.9487152,9.746631,274.2364,17.163355,279.6599,19.44,21.288757,288.74133,20.268991,289.7223,22.963936,279.01932,45.657597,234.30478
20220929T1900,10.370529,0.015438716,11.61,1.87,-7.52,0,0,0,0,0,0,80,100,22,9,100,31,1006.6,57,1391,2928,5462,10.43,11.630005,2.5083637,9.007196,272.29062,16.039202,279.0395,19.44,17.555307,298.1416,15.484185,305.5377,17.429354,321.70984,35.770668,241.11342
20220929T2000,10.020529,0.000855366,11.09,2.06,-7.86,0,0,0,0,0,0,81,100,24,3,100,36,1007.3,62,1395,2932,5466,10.12,11.25,2.3279,9.007196,267.7094,15.124284,271.36392,18.359999,15.546833,312.18445,10.630672,331.69925,16.135872,321.3402,32.553635,240.88387
20220929T2100,9.660529,0,10.66,1.91,-7.95,0,0,0,0,0,0,84,100,29,4,100,40,1007.9,67,1399,2935,5469,9.89,10.950012,1.9136457,9.726665,272.1211,15.5843,276.6325,19.08,14.773164,316.97495,9.659814,333.43497,13.044722,320.59937,30.10685,243.74135
20220929T2200,9.060529,0,10.56,1.6,-8.06,0,0,0,0,0,0,85,22,37,17,22,8,1008.2,69,1401,2936,5471,8.6,10.540009,1.7231293,8.4042845,279.8658,14.241629,286.14435,16.919998,14.773164,316.97495,10.44,316.3972,12.599998,306.8699,28.412645,247.65936
20220929T2300,8.690529,0,10.31,1.44,-8.1,0,0,0,0,0,0,88,47,100,47,42,39,1008.2,69,1399,2934,5471,8.23,9.929993,1.3445139,4.73506,278.74615,10.538843,277.85333,15.119999,14.168641,297.2161,10.805998,299.98163,11.298495,300.6507,28.236486,250.641
